number,type,group
2,Clothing,suit of clothes or dress
3,Dresses,bottoms
4,Day Dresses,bottoms
5,Cocktail Dresses,bottoms
6,Gowns,suit of clothes or dress
7,Skirts,bottoms
8,Mini Skirts,bottoms
9,Knee Length Skirts,bottoms
10,Long Skirts,bottoms
11,Tops,tops
15,Tunics,tops
17,Blouses,tops
18,Cardigans,tops
19,Sweaters,tops
21,T-Shirts,tops
23,Outerwear,tops
24,Coats,tops
25,Jackets,tops
26,Vests,tops
27,Jeans,bottoms
28,Pants,bottoms
29,Shorts,bottoms
30,Suits,suit of clothes or dress
31,Swimwear,suit of clothes or dress
33,Activewear,suit of clothes or dress
35,Bags,misc
36,Tote Bags,misc
37,Shoulder Bags,misc
38,Clutches,misc
39,Luggage,misc
40,Wallets,misc
41,Shoes,shoes
42,Boots,shoes
43,Pumps,shoes
46,Sandals,shoes
47,Flats,shoes
48,Flip Flops,shoes
49,Sneakers,shoes
50,Slippers,shoes
51,Accessories,accessories
52,Belts,accessories
53,Gloves,accessories
55,Hats,accessories
56,Ties,accessories
57,Sunglasses,accessories
58,Hair Accessories,misc
59,Umbrellas,misc
60,Jewelry,misc
61,Watches,misc
62,Necklaces,misc
64,Earrings,misc
65,Rings,misc
343,Men's Tank Tops,tops
67,Brooches,accessories
68,Hosiery,shoes
69,Socks,shoes
71,Men's Fashion,misc
74,Beauty Products,misc
75,Costumes,suit of clothes or dress
76,Electronics,decorative hardware
77,Font,misc
78,Food & Drink,misc
85,Sleepwear,suit of clothes or dress
93,Makeup,misc
94,Skincare,misc
95,Fragrance,misc
96,Bath & Body,misc
97,Haircare,misc
98,Nail Care,misc
99,Beauty Accessories,accessories
101,Maternity,misc
102,Baby,misc
104,Tank Tops,decorative hardware
105,Scarves,tops
106,Bracelets & Bangles,accessories
107,Charms & Pendants,accessories
108,Intimates,tops
110,Sports & Outdoors,accessories
113,Furniture,decorative hardware
115,Sofas,decorative hardware
116,Accent Chairs,decorative hardware
118,Accent Tables,decorative hardware
